index	renderer	cache_key	raw_bytes	consumed_bytes	width	height	row_bytes	mask_bytes	sha256	mask_file
37	0x4c9a28	0x74b8	b87400	2	16	16	2	32	beddd734d85d7649a9d35f7a3fa448389eff59021300fc803eebb399a6e660eb	masks/glyph-000037-16x16-key-74B8.bin
38	0x4c9a28	0x0039	390000	1	16	16	2	32	3651ca4e354dc1614d20bc1ee40d31f9db448be7078669098cba4e59d91ea21c	masks/glyph-000038-16x16-key-0039.bin
39	0x4a9ed0	0x0037	370000	1	12	12	2	24	74466dbfb607a77fba4a684d6e846a38333222a18055bfce8eddad207117a40b	masks/glyph-000039-12x12-key-0037.bin
40	0x4a9ed0	0x002f	2f0000	1	12	12	2	24	3dfbb567b55aa640ee757dbea23d4f00223793126d02aefc606eb5d8ba7a50d6	masks/glyph-000040-12x12-key-002F.bin
41	0x4a9ed0	0x0035	350000	1	12	12	2	24	a2cfa865288ae5a8f3d788fd711c89cfe7868b7c00aa609405e27e53d5567171	masks/glyph-000041-12x12-key-0035.bin
42	0x4a9ed0	0x0033	330000	1	12	12	2	24	47480db62534e761cb48fda001f61425168b754a82dbb07c45cb43ccaa551714	masks/glyph-000042-12x12-key-0033.bin
43	0x4c9a28	0xaac5	c5aa00	2	16	16	2	32	95a7f9f7805d877b7a4499659419a78fb9980ee0ea992e3b2dd6dc8ce487855e	masks/glyph-000043-16x16-key-AAC5.bin
44	0x4c9a28	0xfaa8	a8fa00	2	16	16	2	32	cf082726869dcdf7258e617d1d0d45175174f6164084c489580b3d1b0341de12	masks/glyph-000044-16x16-key-FAA8.bin
45	0x4c9a28	0x4fb0	b04f00	2	16	16	2	32	57bc12c08079b02c86bff8519e8d5d828a17208af07d66750e4b40897fdaae5f	masks/glyph-000045-16x16-key-4FB0.bin
46	0x4c9a28	0xfcb8	b8fc00	2	16	16	2	32	ed4cbc3ad0004af8327930cedf149acadc998423c1e0219cae01dfd31fbc393a	masks/glyph-000046-16x16-key-FCB8.bin
