instruction_address	owner	symbol	record_index	field_offset	field_role	access	instruction
0x00407894	sub_4070A0	dword_4B7CCC	1	0x0C	continuous_down_count	read	cmp dword_4B7CCC, ebx
0x0040789C	sub_4070A0	dword_4B7D70	12	0x00	rapid_press_multiplicity	read	cmp dword_4B7D70, ebp
0x004078A8	sub_4070A0	dword_4B7D7C	12	0x0C	continuous_down_count	read	cmp dword_4B7D7C, ebx
0x0040792C	sub_4070A0	dword_4B7CB0	0	0x00	rapid_press_multiplicity	read	cmp dword_4B7CB0, ebx
0x00407934	sub_4070A0	dword_4B7CBC	0	0x0C	continuous_down_count	read	cmp dword_4B7CBC, ebx
0x0040793C	sub_4070A0	dword_4B7D40	9	0x00	rapid_press_multiplicity	read	cmp dword_4B7D40, ebx
0x00407944	sub_4070A0	dword_4B7D4C	9	0x0C	continuous_down_count	read	cmp dword_4B7D4C, ebx
0x0040C5CD	sub_40C130	dword_4B7CB0	0	0x00	rapid_press_multiplicity	address_taken	mov edi, offset dword_4B7CB0
0x00412352	sub_4120B0	dword_4B7CB0	0	0x00	rapid_press_multiplicity	address_taken	mov edi, offset dword_4B7CB0
0x004141CC	sub_413FE0	dword_4B7DAC	15	0x0C	continuous_down_count	read	mov ecx, dword_4B7DAC
0x004141D2	sub_413FE0	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	mov edx, dword_4B7DA0
0x00414A10	sub_4149B0	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7DA0
0x00427474	sub_427300	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7DA0
0x00427481	sub_427300	dword_4B7DAC	15	0x0C	continuous_down_count	read	cmp dword_4B7DAC, 1
0x0042749B	sub_427300	dword_4B7DA0	15	0x00	rapid_press_multiplicity	write	mov dword_4B7DA0, ecx
0x004274A2	sub_427300	dword_4B7DA4	15	0x04	release_timestamp	write	mov dword_4B7DA4, ecx
0x004274AD	sub_427300	dword_4B7DA8	15	0x08	rapid_press_chain_stage	write	mov dword_4B7DA8, ecx
0x004274B3	sub_427300	dword_4B7DAC	15	0x0C	continuous_down_count	write	mov dword_4B7DAC, ecx
0x00427513	sub_427300	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	cmp dword_4B7DA0, ebp
0x0042751F	sub_427300	dword_4B7DAC	15	0x0C	continuous_down_count	read	cmp dword_4B7DAC, 1
0x00427635	sub_427300	dword_4B7DA0	15	0x00	rapid_press_multiplicity	write	mov dword_4B7DA0, ecx
0x0042763B	sub_427300	dword_4B7DA4	15	0x04	release_timestamp	write	mov dword_4B7DA4, ecx
0x00427641	sub_427300	dword_4B7DA8	15	0x08	rapid_press_chain_stage	write	mov dword_4B7DA8, ecx
0x00427647	sub_427300	dword_4B7DAC	15	0x0C	continuous_down_count	write	mov dword_4B7DAC, ecx
0x00427707	sub_427300	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	mov ecx, dword_4B7DA0
0x00427721	sub_427300	dword_4B7DAC	15	0x0C	continuous_down_count	read	cmp dword_4B7DAC, 1
0x00427870	sub_427300	dword_4B7D90	14	0x00	rapid_press_multiplicity	read	mov ecx, dword_4B7D90
0x0042788F	sub_427300	dword_4B7CF0	4	0x00	rapid_press_multiplicity	write	mov dword_4B7CF0, ecx
0x004278A4	sub_427300	dword_4B7D10	6	0x00	rapid_press_multiplicity	write	mov dword_4B7D10, ecx
0x004278B9	sub_427300	dword_4B7CE0	3	0x00	rapid_press_multiplicity	write	mov dword_4B7CE0, ecx
0x004278CE	sub_427300	dword_4B7D00	5	0x00	rapid_press_multiplicity	write	mov dword_4B7D00, ecx
0x004278DD	sub_427300	dword_4B7CC0	1	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7CC0
0x004278E6	sub_427300	dword_4B7DA0	15	0x00	rapid_press_multiplicity	read	mov eax, dword_4B7DA0
0x004278EB	sub_427300	dword_4B7DA4	15	0x04	release_timestamp	read	mov ecx, dword_4B7DA4
0x004278F1	sub_427300	dword_4B7DA8	15	0x08	rapid_press_chain_stage	read	mov edx, dword_4B7DA8
0x004278F7	sub_427300	dword_4B7CC0	1	0x00	rapid_press_multiplicity	write	mov dword_4B7CC0, eax
0x004278FC	sub_427300	dword_4B7DAC	15	0x0C	continuous_down_count	read	mov eax, dword_4B7DAC
0x00427901	sub_427300	dword_4B7CC4	1	0x04	release_timestamp	write	mov dword_4B7CC4, ecx
