entry_target	effective_opcode_count	effective_opcodes	route_sources	first_instruction	interpretation_limit
0x0042CCF7	4	170-173	secondary_table	mov edx, [esp+60h+lpString2]	shared first entry only; handler may redispatch on opcode or use different operands
0x0042CDED	1	175	secondary_table	mov edx, dword_4B7AA0	single primary entry
0x0042CE12	1	176	secondary_table	mov edx, dword_4B7AA0	single primary entry
0x0042CE32	1	177	secondary_table	test ch, 80h	single primary entry
0x0042CF7C	1	178	secondary_table	mov bx, [ebx+2]	single primary entry
0x0042CFBD	1	179	secondary_table	movsx eax, word ptr [ebx+4]	single primary entry
0x0042D041	1	180	secondary_table	add ebx, 2	single primary entry
0x0042D05C	2	186-187	secondary_table	movsx eax, word ptr [ebx+2]	shared first entry only; handler may redispatch on opcode or use different operands
0x0042D0D8	3	188-190	secondary_table	movsx eax, word ptr [ebx+2]	shared first entry only; handler may redispatch on opcode or use different operands
0x0042D170	1	191	secondary_table	mov eax, dword_4A99F0	single primary entry
0x0042D1AA	1	192	secondary_table	cmp dword_4B7380, 2	single primary entry
0x0042D1D5	1	193	secondary_table	call sub_484DA0	single primary entry
0x0042D1EA	1	1026	special_eq_1026	add ebx, 2	single primary entry
0x0042D200	1	1024	special_eq_1024	add ebx, 2	single primary entry
0x0042D230	16187	0,194-1023,1027-16382	default	push 0	all unmapped effective opcodes; no instruction-pointer advance
0x0042D24E	1	16383	special_eq_16383	mov eax, [esp+60h+arg_0]	single primary entry
0x0042D49F	1	1025	special_eq_1025	add word ptr [ebp+0], 2	single primary entry
