caller	call_address	first_argument_push	push_span_bytes	arg_0_x	arg_4_y	arg_8_width	arg_C_height	arg_10_flags	arg_14_auxiliary	flags_immediate	low_flags	mode	flip_bits	family_selection
sub_4161C0	0x00416377	0x00416376	51	eax	edx	ecx	edx	ecx	0					runtime/unresolved
sub_416B30	0x00416BD5	0x00416BD4	25	eax	edx	ecx	eax	edi	edi					runtime/unresolved
sub_416B30	0x00416C60	0x00416C5F	26	eax	edx	ecx	eax	2Ch	edi	0x0000002C	0x002C	0x2C	0	source header selects RLE/span or raw/+0x80
sub_417050	0x00417080	0x00417077	16	ecx	eax	ebp	ebx	esi	edi					runtime/unresolved
sub_417050	0x0041709F	0x00417096	18	ecx	eax	ebp	ebx	esi	edi					runtime/unresolved
sub_417050	0x004170B2	0x004170B1	6	eax	edx	ebp	ebx	esi	edi					runtime/unresolved
sub_417050	0x004170C8	0x004170C7	6	edx	ecx	ebp	ebx	esi	edi					runtime/unresolved
sub_42E850	0x0042E8F9	0x0042E8F8	52	ecx	eax	edx	edx	edx	0					runtime/unresolved
sub_42E850	0x0042E966	0x0042E965	33	ecx	eax	edx	ecx	edx	0					runtime/unresolved
sub_42E850	0x0042EA00	0x0042E9FF	33	ecx	eax	edx	ecx	edx	0					runtime/unresolved
sub_42E850	0x0042EA75	0x0042EA74	37	ecx	eax	edx	ecx	edx	0					runtime/unresolved
sub_42E850	0x0042EAF2	0x0042EAF1	49	ecx	eax	edx	edx	edx	0					runtime/unresolved
sub_42E850	0x0042EB52	0x0042EB51	29	ebx	edx	ecx	edx	ecx	0					runtime/unresolved
sub_42E850	0x0042EBB6	0x0042EBB5	53	eax	edx	ecx	edx	ecx	0					runtime/unresolved
sub_42E850	0x0042EC33	0x0042EC32	49	eax	ecx	edx	edx	edx	0					runtime/unresolved
sub_42E850	0x0042ECA7	0x0042ECA6	25	ebx	ecx	edx	edx	edx	0					runtime/unresolved
sub_42E850	0x0042ED1B	0x0042ED1A	31	esi	edi	edx	ecx	edx	0					runtime/unresolved
sub_42ED40	0x0042FE71	0x0042FE70	36	edx	ecx	eax	edx	eax	0					runtime/unresolved
