address	ida_name_navigation_only	catalog_source	code_origin	module_candidate	candidate_confidence	assignment_basis	assembly_direct_callers_address_count	assembly_direct_callees_address_count	follow_up_module	manual_review_scope	review_status
0x00437570	sub_437570	ida_export_catalog	game	rendering	confirmed_boundary	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:6_sites;manual_a2_cross_module_boundary_review	0x00424EF0:1	0x00437610:1;0x00437680:1;0x004376D0:1;0x004377D0:1;0x00437E30:1	rendering	cross_module_boundary_a2	manual_reviewed_current_assembly
0x00437610	sub_437610	ida_export_catalog	game	rendering	medium	address_cluster:directdraw_wrapper_cluster;decompile_token_navigation_only:render_api_token;assembly_direct_call_graph:3_sites	0x00437570:1	0x004311C0:1;0x00486AB0:1	rendering		mechanical_candidate_not_manually_reviewed
0x00437680	sub_437680	ida_export_catalog	game	rendering	medium	address_cluster:directdraw_wrapper_cluster;decompile_token_navigation_only:render_api_token;assembly_direct_call_graph:2_sites	0x00437570:1	0x004311C0:1	rendering		mechanical_candidate_not_manually_reviewed
0x004376D0	sub_4376D0	ida_export_catalog	game	rendering	medium	address_cluster:directdraw_wrapper_cluster;decompile_token_navigation_only:render_api_token;assembly_direct_call_graph:2_sites	0x00437570:1	0x004311C0:1	rendering		mechanical_candidate_not_manually_reviewed
0x00437720	sub_437720	ida_export_catalog	game	rendering	medium	address_cluster:directdraw_wrapper_cluster;decompile_token_navigation_only:render_api_token;assembly_direct_call_graph:5_sites	0x004377D0:2	0x004311C0:3	rendering		mechanical_candidate_not_manually_reviewed
0x004377D0	sub_4377D0	ida_export_catalog	game	rendering	medium	address_cluster:directdraw_wrapper_cluster;decompile_token_navigation_only:render_api_token;assembly_direct_call_graph:6_sites	0x00437570:1	0x004311C0:1;0x00437720:2;0x00437B60:1;0x00437DC0:1	rendering		mechanical_candidate_not_manually_reviewed
0x00437A50	sub_437A50	ida_export_catalog	game	rendering	confirmed_boundary	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:1_sites;manual_a2_cross_module_boundary_review	0x004251B0:1		rendering	cross_module_boundary_a2	manual_reviewed_current_assembly
0x00437AD0	sub_437AD0	ida_export_catalog	game	rendering	confirmed_boundary	address_cluster:directdraw_wrapper_cluster;assembly_direct_call_graph:1_sites;manual_a2_cross_module_boundary_review	0x004251B0:1		rendering	cross_module_boundary_a2	manual_reviewed_current_assembly
0x00437AE0	sub_437AE0	ida_export_catalog	game	rendering	confirmed_boundary	manual_critical_abi_seed;manual_a2_cross_module_boundary_review	0x0040AB50:1		rendering	critical_abi;cross_module_boundary_a2	manual_reviewed_current_assembly
0x00437B60	sub_437B60	ida_export_catalog	game	rendering	confirmed_boundary	manual_module_assembly_review;manual_a2_cross_module_boundary_review	0x00424EF0:1;0x0042ED40:1;0x00435240:1;0x004377D0:1;0x00451A90:1;0x004530A0:1	0x00437D80:1	rendering	module_candidate_manual;cross_module_boundary_a2	manual_reviewed_current_assembly
